Municipio;1996;2001;2006;2010;2011;2013;2014;2015;2016;Promedio)
Eskoriatza;33.41;37.72;44.38;56.23;56.53;57.5;59.14;59.65;60.49;51.67222222222222
Etxebarri;22.87;29.23;42.14;57.78;59.58;60.51;61.36;61.94;62.31;50.857777777777784
Etxebarria;42.96;21.78;50.74;63.42;65.63;66.12;67.53;67.8;67.65;57.070000000000014
Ezkio-Itsaso;36.93;36.49;46.31;56.12;59.07;61.66;60.62;60.89;62.66;53.416666666666664
Forua;34.03;37.35;46.86;60.04;60.83;61.63;62.5;63.46;63.4;54.455555555555556
Fruiz;30.98;33.64;52.2;61.13;61.45;64.14;67.08;67.09;68.15;56.20666666666666
Gabiria;35.73;37.43;45.55;57.63;59.29;61.34;63.23;62.5;64.43;54.125555555555565
Galdakao;37.75;40.15;48.17;58.93;60.25;61.04;61.74;62.34;63.0;54.81888888888889
Galdames;35.18;42.03;51.09;60.98;60.86;61.19;61.86;64.46;66.13;55.97555555555556
Gamiz-Fika;34.81;44.86;50.81;62.87;65.33;66.43;66.69;66.99;68.13;58.546666666666674
Garai;32.75;43.1;55.76;61.97;63.95;66.08;68.0;69.0;69.0;58.845555555555556
Gatika;44.37;43.73;62.93;72.93;73.08;74.07;75.4;75.7;76.21;66.49111111111111
Gautegiz Arteaga;45.16;50.71;62.17;72.05;73.73;73.94;74.19;75.51;76.92;67.15333333333334
Gernika-Lumo;40.78;41.71;49.93;58.77;60.41;61.37;62.23;62.89;63.6;55.743333333333325
Getaria;31.37;35.52;44.46;54.95;56.67;58.28;59.39;60.78;62.51;51.547777777777775
Getxo;62.25;61.4;71.04;80.35;80.75;81.3;81.54;81.74;82.09;75.82888888888888
Gizaburuaga;28.35;37.98;48.45;62.36;59.67;63.64;64.17;64.89;65.57;55.00888888888889
Gordexola;38.07;39.67;52.18;59.54;61.79;63.0;63.93;64.85;66.05;56.56444444444445
Gorliz;50.69;52.96;65.87;75.06;76.14;76.85;76.99;77.76;78.1;70.04666666666668
Hernani;36.67;40.38;46.71;58.64;60.29;61.34;61.73;62.28;63.08;54.56888888888889
Hondarribia;47.57;48.1;58.56;67.22;68.31;69.04;69.68;69.65;70.04;63.13000000000001
Ibarrangelu;39.39;46.86;58.88;67.78;70.46;70.63;71.09;73.15;75.34;63.73111111111112
Idiazabal;35.01;36.11;47.46;56.74;58.33;59.05;59.14;59.5;60.84;52.464444444444446
Igorre;33.78;37.97;47.01;57.57;57.82;58.56;59.47;60.32;60.89;52.59888888888889
Ikaztegieta;30.0;32.85;44.96;61.87;63.59;62.71;63.44;64.22;63.51;54.12777777777778
Irun;39.35;40.09;49.16;60.52;61.41;62.08;62.46;62.84;63.32;55.69222222222223
Irura;38.49;46.94;55.82;67.81;70.34;70.33;69.74;69.1;69.59;62.01777777777779
Iruraiz-Gauna;29.64;35.9;42.67;54.03;56.95;57.31;58.92;59.76;61.74;50.76888888888889
Iru�a Oka/Iru�a de Oca;26.78;34.7;42.37;57.36;59.55;60.34;60.82;60.61;61.57;51.56666666666667
Izurtza;37.35;41.7;50.21;62.55;64.79;67.27;66.92;67.22;68.26;58.474444444444444
Kortezubi;27.0;36.66;47.84;61.05;63.97;64.52;65.92;66.83;65.97;55.528888888888886
Larrabetzu;37.97;39.14;54.37;64.94;67.34;67.93;68.67;70.49;71.36;60.24555555555555
Laudio/Llodio;37.28;38.78;45.19;55.17;56.3;56.75;57.36;57.82;58.38;51.44777777777777
Laukiz;62.95;59.98;69.43;75.94;76.5;77.06;78.05;78.26;79.12;73.03222222222223
Lazkao;31.83;36.49;43.8;54.84;56.28;56.81;57.65;58.12;59.67;50.61
Legutio;29.44;35.48;44.26;57.2;60.3;60.9;61.01;60.83;60.78;52.24444444444444
Leintz-Gatzaga;43.04;37.44;51.79;60.08;63.98;64.61;66.67;67.26;68.47;58.14888888888889
Leioa;45.99;47.16;57.69;68.16;68.97;69.67;70.28;70.67;71.3;63.32111111111111
Lekeitio;41.63;41.29;49.74;57.85;59.04;60.23;61.01;61.77;62.85;55.04555555555556
Lemoa;29.77;34.99;44.26;56.2;58.18;59.22;60.37;61.16;62.11;51.80666666666666
Lemoiz;39.45;45.04;56.77;68.0;70.67;72.5;74.93;75.92;76.32;64.4
Lezama;37.45;42.37;53.98;64.5;64.97;66.45;67.38;66.85;68.13;59.120000000000005
Lezo;34.3;37.94;45.33;57.32;58.64;59.34;60.6;61.12;61.66;52.916666666666664
Loiu;45.05;47.38;58.62;66.77;68.45;69.5;71.35;73.14;73.91;63.79666666666666
Markina-Xemein;33.42;36.84;44.93;52.8;55.3;56.55;57.14;57.88;59.14;50.44444444444445
Maruri-Jatabe;37.38;52.87;59.4;70.29;71.98;73.0;72.41;73.52;73.97;64.97999999999999
Mendaro;28.27;35.42;46.6;58.24;58.78;59.71;60.05;61.35;61.95;52.26333333333334
Mendata;24.53;32.92;49.85;59.77;63.45;62.76;63.27;64.53;64.79;53.98555555555556
Mendexa;34.08;37.42;49.61;63.4;65.29;66.18;66.91;68.45;69.35;57.854444444444454
Me�aka;27.75;37.19;52.49;60.91;63.23;64.24;64.31;64.58;65.99;55.632222222222225
Morga;33.52;33.16;47.25;58.97;60.32;60.5;61.54;63.13;64.29;53.6311111111111
Mundaka;42.6;46.88;57.11;67.79;68.16;69.65;70.05;70.73;71.07;62.67111111111112
Mungia;43.73;46.98;54.58;64.53;65.74;66.92;68.03;68.64;69.01;60.906666666666666
Munitibar-Arbatzegi Gerrikaitz-;29.03;31.65;39.66;58.46;57.88;58.77;58.41;58.69;59.19;50.19333333333332
Murueta;43.78;49.13;60.3;71.07;73.56;73.13;73.51;76.78;77.41;66.51888888888888
Muskiz;38.48;39.04;49.71;61.24;62.07;62.55;63.31;64.05;64.29;56.08222222222222
Muxika;31.98;34.19;44.15;55.98;58.28;60.08;60.3;60.87;62.7;52.058888888888895
Nabarniz;28.51;27.8;39.51;54.98;62.32;64.15;63.72;61.86;66.08;52.10333333333333
Oiartzun;38.28;39.21;50.14;59.78;61.39;61.99;62.54;63.01;64.21;55.61666666666666
Okondo;29.15;29.32;44.31;56.15;59.33;60.26;60.34;60.46;61.24;51.173333333333325
Ordizia;39.61;40.37;48.4;59.43;60.82;61.37;61.98;62.75;63.54;55.36333333333333
Orio;34.31;37.71;47.03;58.13;59.53;60.17;61.48;62.23;63.17;53.75111111111111
Ormaiztegi;42.53;40.4;51.39;62.55;62.61;63.49;64.43;64.07;64.55;57.33555555555555
Orozko;34.35;38.31;51.75;58.56;59.73;61.74;62.89;63.65;64.63;55.067777777777785
Otxandio;28.16;33.3;46.2;56.57;58.19;58.17;59.26;60.5;60.46;51.20111111111111
O�ati;37.81;38.95;46.69;56.63;58.39;59.38;60.26;60.79;61.65;53.39444444444444
Pe�acerrada-Urizaharra;28.09;30.57;39.83;54.96;55.43;57.84;61.25;63.02;64.55;50.615555555555545
